,ori,data_year,offense,state_abbr,cleared,actual
0,AL0010000,2011,property-crime,AL,474,4125
1,AL0010100,2011,property-crime,AL,267,3274
2,AL0010200,2011,property-crime,AL,0,17841
3,AL0010300,2011,property-crime,AL,113,358
4,AL0010400,2011,property-crime,AL,226,1296
5,AL0010500,2011,property-crime,AL,185,444
6,AL0010600,2011,property-crime,AL,81,528
7,AL0010700,2011,property-crime,AL,21,346
8,AL0010800,2011,property-crime,AL,48,559
9,AL0010900,2011,property-crime,AL,291,524
10,AL0011000,2011,property-crime,AL,118,989
11,AL0011100,2011,property-crime,AL,75,434
12,AL0011200,2011,property-crime,AL,557,2195
13,AL0011300,2011,property-crime,AL,81,595
14,AL0011400,2011,property-crime,AL,38,200
15,AL0011800,2011,property-crime,AL,0,1
16,AL0011900,2011,property-crime,AL,101,658
17,AL0012000,2011,property-crime,AL,5,92
18,AL0012100,2011,property-crime,AL,5,133
19,AL0012200,2011,property-crime,AL,90,300
0,AL0010000,2012,property-crime,AL,489,3670
1,AL0010100,2012,property-crime,AL,262,3329
2,AL0010200,2012,property-crime,AL,0,14788
3,AL0010300,2012,property-crime,AL,47,303
4,AL0010400,2012,property-crime,AL,266,1337
5,AL0010500,2012,property-crime,AL,257,642
6,AL0010600,2012,property-crime,AL,118,422
7,AL0010700,2012,property-crime,AL,25,320
8,AL0010800,2012,property-crime,AL,48,395
9,AL0010900,2012,property-crime,AL,281,505
10,AL0011000,2012,property-crime,AL,156,1095
11,AL0011100,2012,property-crime,AL,47,287
12,AL0011200,2012,property-crime,AL,646,2182
13,AL0011300,2012,property-crime,AL,67,500
14,AL0011400,2012,property-crime,AL,47,150
15,AL0011800,2012,property-crime,AL,0,107
16,AL0011900,2012,property-crime,AL,122,637
17,AL0012000,2012,property-crime,AL,7,63
18,AL0012100,2012,property-crime,AL,0,10
19,AL0012200,2012,property-crime,AL,112,292
0,AL0010000,2013,property-crime,AL,420,3678
1,AL0010100,2013,property-crime,AL,70,3199
2,AL0010200,2013,property-crime,AL,1578,14157
3,AL0010300,2013,property-crime,AL,46,294
4,AL0010400,2013,property-crime,AL,175,1007
5,AL0010500,2013,property-crime,AL,208,664
6,AL0010600,2013,property-crime,AL,117,540
7,AL0010700,2013,property-crime,AL,24,281
8,AL0010800,2013,property-crime,AL,46,416
9,AL0010900,2013,property-crime,AL,339,544
10,AL0011000,2013,property-crime,AL,140,1046
11,AL0011100,2013,property-crime,AL,62,175
12,AL0011200,2013,property-crime,AL,744,2595
13,AL0011300,2013,property-crime,AL,105,463
14,AL0011400,2013,property-crime,AL,24,140
15,AL0011800,2013,property-crime,AL,3,49
16,AL0011900,2013,property-crime,AL,109,646
17,AL0012000,2013,property-crime,AL,0,18
18,AL0012200,2013,property-crime,AL,119,321
19,AL0012300,2013,property-crime,AL,16,71
0,AL0010000,2014,property-crime,AL,430,3385
